Individual,one_minus_r2,R2,Fitness,Generation,EvalIndex,Status
"[58.45896695415161, 54.43469261288125, 0.3663588354165299]",999999.999,-inf,999999.999,7,176,ABAQUS_FAIL(code=0)
"[169.41963244107592, 80.89194447250395, 0.20877053194316023]",0.3472888574261551,0.6527111425738449,0.3472888574261551,7,177,OK
"[186.5352884860996, 63.72367303569507, 0.40013186122033595]",0.34112713720787635,0.6588728627921236,0.34112713720787635,7,178,CACHE
"[184.20952661230677, 25.18907863113672, 0.5462098780186265]",0.38629600507551365,0.6137039949244864,0.38629600507551365,7,179,OK
"[167.7785289330025, 77.24344529184985, 0.22243128372190665]",0.3611665236388575,0.6388334763611425,0.3611665236388575,7,180,OK
"[190.81957705219656, 38.79558132167629, 0.40397364761241333]",0.436977511016697,0.563022488983303,0.436977511016697,7,181,OK
"[173.21009417227268, 51.43088283845937, 0.5280866175600211]",0.4491776566125507,0.5508223433874493,0.4491776566125507,7,182,OK
"[178.78986465071577, 82.19115222642381, 0.17265927784932103]",0.4578579055682639,0.5421420944317361,0.4578579055682639,7,183,OK
"[187.32291387025688, 81.64208731118572, 0.20884812324001217]",0.49071679905849186,0.5092832009415081,0.49071679905849186,7,184,OK
"[168.21474688724322, 31.15259169987167, 0.5898901985079256]",0.4896211634014783,0.5103788365985217,0.4896211634014783,7,185,OK
"[166.89859514373185, 71.33716586633534, 0.1747608506007995]",0.4910704672785766,0.5089295327214234,0.4910704672785766,7,186,OK
"[175.9310386843063, 55.1945039854385, 0.7720504603883505]",0.5159935188474062,0.4840064811525938,0.5159935188474062,7,187,OK
"[174.4530485662441, 78.58437881177551, 0.2109642261478487]",0.3360277891226655,0.6639722108773345,0.3360277891226655,7,188,OK
"[192.15583268745067, 77.15436327021607, 0.21016977988833535]",0.6008420856423475,0.39915791435765247,0.6008420856423475,7,189,OK
"[174.75144594791698, 77.18784828257004, 0.2445589617590439]",0.30645912891770066,0.6935408710822993,0.30645912891770066,7,190,OK
"[173.852103794536, 79.06978275316105, 0.24482931786484316]",0.3072037550004406,0.6927962449995594,0.3072037550004406,7,191,OK
"[169.2461546795488, 75.73435438149366, 0.7447314922328436]",0.6223398723268009,0.3776601276731991,0.6223398723268009,8,192,OK
"[174.69207708554742, 77.18784828257004, 0.2445589617590439]",0.3065951117878497,0.6934048882121503,0.3065951117878497,8,193,OK
"[173.91147265690554, 78.7012031859146, 0.24482931786484316]",0.3060797622954772,0.6939202377045228,0.3060797622954772,8,194,OK
"[185.61643500489373, 79.1041953747285, 0.24454687126001642]",0.38939935698485484,0.6106006430151452,0.38939935698485484,8,195,OK
"[180.5232728495605, 78.83271103762699, 0.26769034212507514]",0.3099821101146153,0.6900178898853847,0.3099821101146153,8,196,OK
"[174.07574941179686, 79.5715776739545, 0.2109642261478487]",0.3326328449387821,0.6673671550612179,0.3326328449387821,8,197,OK
"[169.58036748419713, 77.1534356610026, 0.20989704444988144]",0.34082551577953213,0.6591744842204679,0.34082551577953213,8,198,OK
"[169.58036748419713, 77.1534356610026, 0.21214472689590463]",0.3397383131249567,0.6602616868750433,0.3397383131249567,8,199,OK
"[189.656934729725, 80.62769689110524, 0.40013186122033595]",0.4301704363389338,0.5698295636610662,0.4301704363389338,8,200,OK
"[169.41963244107592, 63.987920617093785, 0.20877053194316023]",0.41438401089518706,0.5856159891048129,0.41438401089518706,8,201,OK
"[167.7785289330025, 77.24344529184985, 0.5478757741403948]",0.5785172707757161,0.42148272922428387,0.5785172707757161,8,202,OK
"[184.20952661230677, 25.18907863113672, 0.24726838390129918]",0.7073208380628403,0.2926791619371597,0.7073208380628403,8,203,OK
"[190.81957705219656, 38.79558132167629, 0.40397364761241333]",0.436977511016697,0.563022488983303,0.436977511016697,8,204,CACHE
"[173.21009417227268, 51.43088283845937, 0.5280866175600211]",0.4491776566125507,0.5508223433874493,0.4491776566125507,8,205,CACHE
"[178.78986465071577, 82.19115222642381, 0.19764844450375044]",0.37979657407960987,0.6202034259203901,0.37979657407960987,8,206,OK
"[175.09536298165958, 81.5847334740046, 0.20884812324001217]",0.3331841139730105,0.6668158860269895,0.3331841139730105,8,207,OK
"[186.9789968364762, 77.21078949818374, 0.2445589617590439]",0.4242950078289873,0.5757049921710127,0.4242950078289873,8,208,OK
"[66.16067583344518, 59.544608250100666, 0.245707375642175]",999999.999,-inf,999999.999,9,209,ABAQUS_FAIL(code=0)
"[174.85344041779985, 77.26003877369298, 0.2445589617590439]",0.30583250064338807,0.6941674993566119,0.30583250064338807,9,210,OK
"[180.3619095173081, 78.76052054650405, 0.26769034212507514]",0.3086521463374745,0.6913478536625255,0.3086521463374745,9,211,OK
"[179.4411424881947, 79.1041953747285, 0.24454279999754314]",0.3142775650476153,0.6857224349523847,0.3142775650476153,9,212,OK
"[179.21743760597508, 79.1041953747285, 0.15613964100633337]",0.5325940581623335,0.4674059418376665,0.5325940581623335,9,213,OK
"[174.07574941179686, 79.5715776739545, 0.20872960496573992]",0.3359692058917234,0.6640307941082766,0.3359692058917234,9,214,OK
"[175.09536298165958, 81.5847334740046, 0.21108274442212097]",0.33029313700284835,0.6697068629971517,0.33029313700284835,9,215,OK
